experimento	fecha	cols	rows	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTe	20220717 160643	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.100086156883699	0.368742195123923	29	21992	0.306602645432577	154.741273814579	5.20511119422736	0.787614227470476	429	0.195713003016257	11156	12964000	30
8122HTe	20220717 160655	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0649132653675042	0.820074660953833	865	6678	2.00278087562765	8.45598617743235	19.0633467613952	0.24401532431948	114	0.210054799067611	8762	13678000	31
8122HTe	20220717 160700	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.179458964963414	0.760277668992785	1657	33559	7.30149128852645	198.275214894966	13.4958212981292	0.833767699229065	1	0.061291827767194	159388	-120508000	32
8122HTe	20220717 160717	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.113513088588059	0.32493043252639	909	11839	9.03144350035122	92.3008386677713	2.04028242450469	0.451145305483972	416	0.165959565160901	11848	14072000	33
8122HTe	20220717 160728	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.122776991636176	0.738988865076207	1284	8282	4.91326494539477	72.8697663247818	19.9106621200776	0.298634525911377	63	0.132208048176912	14400	12840000	34
8122HTe	20220717 160737	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.205580675383518	0.298041536186627	361	20037	1.37579232450018	99.8839528304292	15.2598782250538	0.451934038849229	69	0.221497495415502	9602	12478000	35
8122HTe	20220717 160752	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.255022561950499	0.172205610398213	376	11451	5.73940636739037	160.950578927879	0.0120920883040565	0.844153734660896	489	0.186213589759152	10090	15350000	36
8122HTe	20220717 160801	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.251535617033386	0.298238519204571	913	15485	3.9454350013684	95.9153901106917	19.1431692617695	0.294517732912532	53	0.18087460035984	11974	13226000	37
8122HTe	20220717 160814	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0858183420599509	0.788591579368297	1321	5180	2.38011316363002	97.66091463294	6.90563197619811	0.409822393711909	152	0.214633306262491	8614	15026000	38
8122HTe	20220717 160824	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.194302592936736	0.454177380295687	835	5148	6.82127517012387	41.173028590114	15.0450924241435	0.648034171148414	34	0.200390671555454	9142	13058000	39
8122HTe	20220717 160835	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0819850451356872	0.371940025416407	616	20567	5.34828744693899	136.260884900895	19.7030679350899	0.7200015364727	134	0.221502644799015	10072	12848000	40
8122HTe	20220717 160857	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.067815640989904	0.547270406179812	1726	5734	6.17801825882572	85.351086288166	1.4021825034149	0.436221532021562	419	0.212699652060969	8932	15308000	41
8122HTe	20220717 160913	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.148561323124305	0.395866809713396	812	17802	5.83220498294375	151.028808658472	1.53301354517448	0.428366789884641	375	0.240387333257574	8914	14006000	42
8122HTe	20220717 160926	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.162449213796723	0.626070454474546	644	2537	4.46562288511661	19.134835895468	5.25017875782892	0.483660367026408	72	0.186176278394693	10112	15568000	43
8122HTe	20220717 160937	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.126060094102231	0.356356266190929	930	13536	5.37418853223423	152.332107815152	11.1671602030204	0.793920512247853	135	0.254580880099456	8008	12752000	44
8122HTe	20220717 160948	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.130483050461542	0.195519327644283	768	8158	9.99003755505461	159.636475609771	3.51372354340133	0.680343344555265	214	0.203421771548182	9680	14320000	45
8122HTe	20220717 161004	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0570713880346839	0.748023148284845	1609	13017	0.754733371863156	0.332091877644425	16.6172179192564	0.697890391760465	208	0.240866611357069	8450	12550000	46
8122HTe	20220717 161015	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.130978101780339	0.475232300288219	1151	18823	9.12201046463805	50.4326356141304	19.8017098667479	0.265660090624663	112	0.195353420596879	11544	12936000	47
8122HTe	20220717 161036	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0619623201100817	0.564052824076014	467	9782	3.87256771596835	86.2948043379289	3.72827412293915	0.5629967039242	421	0.160562351526469	12384	14856000	48
8122HTe	20220717 161053	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0584766969816014	0.147660950482746	37	21080	2.69295674781587	164.159635946215	0.964935439590525	0.403631287275639	612	0.172799341174564	12482	12598000	49
8122HTe	20220717 161104	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.22779465516287	0.530703000694603	871	2942	5.13384126208212	131.618192787554	3.41117653874004	0.935226928496659	76	0.189376812146794	9668	14332000	50
8122HTe	20220717 161116	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.235643303867887	0.653241177422516	1766	10932	4.8320933968068	138.687695498596	4.81028613716848	0.44721171909412	124	0.170717597874877	11526	13914000	51
